id,nome,cpf,contato
1,João,282.274.030-50,(72)97901-4197
2,Joaquim,694.867.350-34,(76)92620-4693
3,Ana,233.584.270-64m,(78)99936-9944
4,Pedro,157.249.200-77,(56)90041-8249
5,Silvio231.068.100-84,(16)96706-9186
6,Fausto,662.693.330-24,(29)99917-3977
7,Luciano,738.125.270-81,(57)91748-2522
8,Danilo,751.402.680-00,(89)91122-4376
9,Xuxa,897.390.920-71,(35)99005-6643
10,Pelé,888.742.840-98,(29)92236-9809
11,Airton,713.973.240-07,(53)96824-8678
12,Cauê,941.616.880-75,(46)92529-9865
13,Rafael,965.995.630-40,(42)97572-2659
14,Eduardo,732.313.310-64,(42)97561-7494
